"bi","Freq"
" sementsverksmiðja",1
" sennilega",2
" sennilegur",1
" setning",1
" seyðf",3
" Seyðf.",1
" seyðfirðing",1
" seyðfirðingur",1
" sérfræðingur",1
" sérstaklega",5
" sig",1
" siglf",3
" Siglf.",1
" Sigríður",1
" Sigurður",15
" sinn",2
" síðan",26
" síðar",2
" síðari",4
" síður",2
" símavarsla",1
" sjaldan",1
" sjá",1
" sjálfkjör",1
" sjálfsagt",3
" sjálfstfl",1
" Sjálfstfl.",44
" Sjálfstæðisflokkur",2
" sjálfstæðismaður",2
" Sjálfstæðismaður",10
" sjálfur",3
" sjávarútvegsnefnd",2
" sjór",1
" Sk.",1
" Skagf.",15
" skammur",2
" skattgreiðandi",1
" skattstjóri",1
" skilja",2
" skilyrði",3
" skipta",1
" skipun",1
" skírskotun",1
" skjalavarsla",1
" skulu",6
" skúlagötuhús",1
" Skúli",9
" Skv.",3
" skýring",1
" skýrsla",1
" slíkur",20
" smávægilegur",1
" snemma",2
" snúa",1
" Snæf.",1
" snæfur",3
" sparifjáreigandi",1
" spurning",4
" spyrja",3
" staðreynd",2
" standa",5
" starf",2
" starfrækja",1
" starfsemi",1
" starfsmaður",1
" Stefán",1
" Stefánsson",2
" stefna",1
" Steindór",3
" sterkur",2
" stjórn",1
" stjórnarskrá",4
" stjórnarskrárbreyting",2
" Stjórnarskrárfrv.",2
" stjórnarskrárn",2
" stjórnarskrárnefnd",2
" stjórnmálaflokkur",1
" stjórnmálaforingi",1
" stjskr.-mál",1
" Stjskrn.",5
" stofna",1
" stofumaður",1
" stóreignaskattslöggjöf",1
" stórfé",1
" stórlega",1
" str",47
" Str.",14
" strax",2
" stuðningsflokkur",2
" stundum",2
" sumarleyfisferð",1
" sumur",7
" sundrung",1
" svar",4
" svara",3
" svipað",2
" svipaður",3
" Svíi",1
" svo",82
" svoleiðis",1
" svona",19
" sýna",3
" sýslumaður",3
" sýslunefnd",1
" sætahlutun",1
" sætaskipun",2
" sætta",3
" sömuleiðis",2
" T.d.",10
" taka",12
" takmark",1
" tala",5
" telja",4
" til",34
" tilboð",1
" tilgangur",2
" Till.",19
" tillaga",3
" Tillgr.",1
" tímavinna",1
" tími",1
" togarafloti",1
" togarakaupanefnd",1
" togarasjómaður",2
" Tómas",2
" trúa",1
" tryggja",1
" tveir",1
" tvennur",1
" tvisvar",1
" tæki",1
" um",86
" umboð",2
" umboðsmaður",1
" ummæli",1
" Umr.",2
" undanfarinn",1
" undir",3
" undirbúningur",1
" undirstaða",1
" undirtekt",1
" upp",1
" uppgjör",1
" uppistaða",1
" upplýsta",1
" utan",1
" Utanr.-",2
" utanríkismálanefnd",1
" úr",3
" út",10
" úti",1
" útkoma",1
" útlit",1
" útsöluverð",2
" v--húnv",2
" V--Húnv.",1
" V--Ísf.",1
" v-húnv",15
" V-Húnv.",3
" v-ísf",7
" V-Ísf.",4
" v-sk",3
" V-Sk.",3
" vafalaust",1
" vandamál",1
" varamaður",8
" varða",11
" varla",1
" vegna",10
" vel",2
" vera",126
" verða",13
" verðbólga",3
" verðbólgubraskari",2
" verðfall",2
" verðgildi",1
" verðgildisrýrnun",2
" verðlagning",1
" verkalýðsflokkur",3
" verkalýðsleiðtogi",1
" verkalýðssamtök",1
" verkalýður",3
" verkamaður",2
" verksmiðja",1
" verkun",1
" vestm",10
" Vestm.",3
" Vestmannaeyjar",1
" vélræn",1
" vér",3
" við",45
" viðurkenna",1
" viðvíkja",2
" viðvörunarorð",1
" vila",1
" Vilhjálmur",3
" vilja",9
" vinna",1
" vinstri",6
" virða",3
" viss",1
" vissulega",8
" vita",3
" vitanlega",7
" vitna",1
" víð",3
" víkja",2
" vonandi",2
" vondur",1
" voryrki",1
" vænta",1
" væntanlega",1
" vöxtur",1
" XIII",1
" yfir",2
" yfirkjörstjórn",10
" yfirkjörstjórnarmaður",3
" yfirleitt",1
" ýmis",1
" ýmislegur",4
" ýtarlegur",1
" Þ.e.a.s.",1
" það",1663
" þaðan",1
" þakka",1
" þannig",46
" þar",94
" þarna",14
" þá",215
" Þáltill.",1
" þegar",107
" þessi",513
" þing",2
" þingdeildarmaður",1
" þingfararkaupsnefnd",1
" þingfréttamaður",1
" þingfulltrú",1
" þingheimur",1
" þingmaður",8
" þingræði",2
" þingræðisskipulag",1
" þingsveinsstarf",1
" þjóð",7
" þjóðartekjur",1
" þjóðfélag",2
" Þjóðvarnarflokkur",1
" Þm.",8
" Þorvaldur",3
" þó",33
" Þórarinn",6
" þótt",5
" þráfaldlega",2
" þrátt",6
" þriðji",1
" þríflokkaforsprakki",1
" þríflokkur",2
" þrír",2
" þróun",3
" þurfa",3
" þú",4
" þúsund",1
" þvert",9
" því",37
" þykja",2
" þyrnirós",1
" þörf",1
" æ",1
" ætla",9
" ætlar",1
" ætlist",1
" örfár",1
" öruggur",1
"! ",4
"%ur ,",1
"%ur .",6
"%ur af",1
"%ur greiddur",1
"%ur kjósandi",1
"%ur launalækkun",1
"%ur og",4
"& Sandholt",1
"( 10",1
"( A",118
"( A.",14
"( Ásgeir",3
"( b",75
"( Bben",18
"( Bernharð",1
"( Björgj",1
"( Björn",2
"( Björnj",1
"( Bó",1
"( Bp",1
"( Bpur",1
"( Bs",1
"( Bst",5
"( Eggþ",15
"( Einar",2
"( Emil",11
"( Eol",11
"( Eoll",6
"( Eystj",5
"( F",1
"( Fbv",1
"( forseti",8
"( frá",1
"( Friðjón",5
"( Frv",1
"( Gaður",1
"( gígur",3
"( Gíslg",4
"( Gísli",6
"( Gíslj",6
"( gripinn",6
"( grípa",19
"( Gth",7
"( Guðlg",1
"( Guðlgur",1
"( Guðmundur",2
"( Gunnar",6
"( Gylfi",4
"( Hannibal",2
"( Hermj",7
"( Hv",4
"( Jóhann",5
"( Jóhh",3
"( Jpálm",1
"( Karl",5
"( Kguðj",1
"( Kjj",2
"( Kkur",11
"( ljós",1
"( Mj",1
"( ný",19
"( nýr",7
"( Ólafur",4
"( Ólj",3
"( Óskj",1
"( Óth",4
"( Páll",4
"( Pz",7
"( Pþ",1
"( Rh",1
"( ró",1
"( Sb",2
"( sjá",4
"( Skg",3
"( Skúli",1
"( Stgrst",1
"( stjfrv.",1
"( Sts",1
"( til",1
"( Vh",1
"( yfirvörður",1
"( þ.e.a.s.",1
"( Þk",2
"( þmfrv.",4
"( Þorvaldur",4
"( Þórarinn",2
"( Þþ",6
") ,",194
") .",66
") :",97
") að",2
") af",1
") allur",1
") á",2
") bók",1
") draga",1
") eða",1
") ef",1
") eiga",2
") ekki",1
") Engur",1
") eyða",1
") ég",5
") fara",2
") fjarstaddur",8
") flokkur",1
") flytja",1
") framsóknarmaður",1
") gera",2
") geta",1
") hafa",5
") halda",3
") hér",2
") Héraðsnefnd",1
") hver",1
") hyggja",1
") í",2
") ja",1
") já",5
") koma",1
") kunna",1
") langur",1
") láta",1
") leyfður",4
") lýsa",1
") með",1
") munu",1
") munur",1
") nei",1
") nokkur",1
") nóvemberlok",1
") og",11
") óska",1
") ræða",2
") samþ.",24
") segja",4
") sjá",1
") skulu",1
") skyldur",1
") stinga",1
") stjórnarformaður",1
") Sveinn",1
") taka",2
") tala",2
") telja",1
") um",3
") vegna",3
") vera",7
") vilja",1
") virða",1
") það",7
") þannig",1
") þá",1
") þessi",4
", ---",341
", ---eða",1
", ---engi",1
", ---harður",1
", ---málflutningur",1
", --afturhaldsstefna",1
", --þetta",1
", (",1
", .",1
", /",2
", “ur",8
", „ur",2
", 1",2
", 1.",39
", 1.200",1
", 10",3
", 10--15",1
", 10%",1
", 10.",6
", 100",1
", 11",4
", 11.",4
", 12",4
", 12.",5
", 13",3
", 13.",1
", 139",1
", 14",3
", 14.",3
", 15",5
", 15--20",1
", 15.",2
", 15.3%",1
", 154.",1
", 16",1
", 16.",1
", 17",2
", 17.",2
", 18",1
", 18.",1
", 185",1
", 19",2
", 1903",1
", 1934",1
", 1937",1
", 1942",2
", 1944",2
", 1947",2
", 1949--1953",1
", 1950",1
", 1950--53",1
", 1952",1
", 1953",1
", 1954",1
", 1959",1
", 2",3
", 2.",36
", 20",1
", 20%",2
", 21",1
", 22",1
", 22.",4
", 23",1
", 23.",2
", 24",1
", 24.",1
", 25",3
", 25%",1
", 250",1
", 26",3
", 27",3
", 27.",3
", 28",2
", 28.",1
", 29",1
", 29.",2
", 3.",12
", 30",2
", 30%",1
", 30.",6
", 3½",1
", 31",1
", 31.",3
", 32.",1
", 33",1
", 34",1
", 35",1
", 350",1
", 4.",11
", 40%",1
", 5.",11
", 5.000",1
", 50",1
", 50%",1
", 6",2
", 6%",3
", 6.",9
", 634",1
", 7",2
", 7.",12
", 70",1
", 72.",1
", 75%",3
", 78",1
", 79.",1
", 8",4
", 8%",1
", 8.",9
", 80",1
", 85%",1
", 9",5
", 9.",6
", A",1
", A.",4
", a.m.k.",41
", að",6548
", aðalbaráttumaður",1
", aðalbreyting",1
", aðalflokkur",1
", aðalmaður",1
", aðalmálgagn",2
", aðalmennur",1
", aðalritstjóri",1
", Aðalsteinn",1
", aðalumslag",1
", aðalþéttbýli",1
", aðeins",11
", aðstaða",3
", af",88
", afgreiða",1
", afnám",1
", afnemi",2
